LPOO-FEUP/LICENSE,ASCII text,1068,rw,2019-04-03T16:53:56,2019-03-31T16:15:30,61263b3fb1657c37e88eb9fe1018c3b8,7fa848a10f80d1a14ccc5e6b20833299edb7d7e5,59628900d08f10a64ebf7858378fedd7fbeff34eb69b1cafc3cc5e6d8c3d3726
LPOO-FEUP/designpatterns/gradlew,a /usr/bin/env sh script,5296,rwx,2019-04-03T16:53:56,2019-03-31T16:15:30,857faf4b42fc9e324fb40b7223f2a94a,fbb60ffd7f1e5155bb2ae43400efac6880a51265,8c4c04dd98db1f00d49456dd162418a39312c5cb13d6865d783deb483bd1ed22
SOPE-FEUP/LICENSE,ASCII text,1068,rw,2019-04-03T16:53:56,2019-03-31T16:15:09,61263b3fb1657c37e88eb9fe1018c3b8,7fa848a10f80d1a14ccc5e6b20833299edb7d7e5,59628900d08f10a64ebf7858378fedd7fbeff34eb69b1cafc3cc5e6d8c3d3726
Trabalhos/BDAD/movies - Cópia.vpp.bak_001d,SQLite 3.x database,578560,rw,2019-04-03T16:53:56,2019-03-31T16:16:27,44343219cc9b0013ec6b0c834313ea0b,8b32d2e419e9424f98f0ffeb71a491f0fa07c3e4,9b9fba1078552c486cfad9f0a4f8ec93c8675d0159ebeb6c7bdee008b909806b
Trabalhos/SOPE_Project/proj/debug.h,C source,312,rw,2019-04-03T16:53:56,2019-03-31T16:16:08,d3170ab5417552d07abf1b696c739127,7b0248f3a6a4f4d8a119c326cec530f9f22d7ea2,44632db255cb3f10c5478aed34d592cd48d4edf015b5f02752ae9b78ad42452c
LPOO-FEUP/tp2/gradlew,a /usr/bin/env sh script,5296,rwx,2019-04-03T16:53:56,2019-03-31T16:15:30,857faf4b42fc9e324fb40b7223f2a94a,fbb60ffd7f1e5155bb2ae43400efac6880a51265,8c4c04dd98db1f00d49456dd162418a39312c5cb13d6865d783deb483bd1ed22
LPOO-FEUP/refactoring/gradlew,a /usr/bin/env sh script,5296,rwx,2019-04-03T16:53:56,2019-04-01T14:17:35,857faf4b42fc9e324fb40b7223f2a94a,fbb60ffd7f1e5155bb2ae43400efac6880a51265,8c4c04dd98db1f00d49456dd162418a39312c5cb13d6865d783deb483bd1ed22
Trabalhos/SOPE_Project/LICENSE,ASCII text,1066,rw,2019-04-03T16:53:56,2019-03-31T16:16:08,9d4c8a8061407c9a04be93c897a0555f,219aaa455ba1d4d9f8a47d1a6e8b4f6bc5b16518,6fe1ca228741b3dca81f399038db2bc60d66fb73e6e92d44763b4436688e8039
LPOO-FEUP/numbers/gradlew,a /usr/bin/env sh script,5296,rwx,2019-04-03T16:53:56,2019-03-31T16:15:30,857faf4b42fc9e324fb40b7223f2a94a,fbb60ffd7f1e5155bb2ae43400efac6880a51265,8c4c04dd98db1f00d49456dd162418a39312c5cb13d6865d783deb483bd1ed22
LPOO-FEUP/.gitignore,ASCII text,34,rw,2019-04-03T16:53:56,2019-03-31T16:15:30,a1778a67eb5d2c9b81a9009fb016906c,1726154e21040e16e9af250fc3476503fc8b8398,198d25be70d0088ecc2dd94b912fe99d541e5e3c7ca7823f6f15efdff649516e
